code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
CHV,103,Chanvre - Strawberry K,01.16.19.2,Chanvre,1
CHV,104,Chanvre - Arizona dream,01.16.19.2,Chanvre,1
CHV,105,Chanvre - Auto Power 1,01.16.19.2,Chanvre,1
CHV,106,Chanvre - Morning glory,01.16.19.2,Chanvre,1
CHV,107,Chanvre - Troyanka I,01.16.19.2,Chanvre,1
CHV,108,Chanvre - Western Cherry,01.16.19.2,Chanvre,1
CHV,109,Chanvre - Rodnik,01.16.19.2,Chanvre,1
CHV,110,Chanvre - Enectaliana,01.16.19.2,Chanvre,1
CHV,111,Chanvre - Nordria 3,01.16.19.2,Chanvre,1
CHV,112,Chanvre - Felice,01.16.19.2,Chanvre,1
CHV,113,Chanvre - Finola2,01.16.19.2,Chanvre,1
CHV,114,Chanvre - Mona 16,01.16.19.2,Chanvre,1
CHV,115,Chanvre - Marideea,01.16.19.2,Chanvre,1
CHV,116,Chanvre - Felsinea,01.16.19.2,Chanvre,1
CHV,117,Chanvre - CBD HEAVEN,01.16.19.2,Chanvre,1
CHV,118,Chanvre - XTAZ,01.16.19.2,Chanvre,1
CHV,119,Chanvre - Anka,01.16.19.2,Chanvre,1
CHV,120,Chanvre - Vega,01.16.19.2,Chanvre,1
CHV,121,Chanvre - Agrovalus,01.16.19.2,Chanvre,1
CHV,122,Chanvre - Fia,01.16.19.2,Chanvre,1
CHV,123,Chanvre - Fortuna,01.16.19.2,Chanvre,1
CHV,124,Chanvre - Katani,01.16.19.2,Chanvre,1
CHV,125,Chanvre - Rak,01.16.19.2,Chanvre,1
CHV,126,Chanvre - Saaroinen,01.16.19.2,Chanvre,1
CHV,127,Chanvre - Sanziana,01.16.19.2,Chanvre,1
CHV,128,Chanvre - Altair,01.16.19.2,Chanvre,1
CHV,129,Chanvre - Carmanova,01.16.19.2,Chanvre,1
CML,,Cameline,01.11.99.1,Cameline,1
CML,001,Cameline - Récolte en grains,01.11.99.1,Cameline,1
CML,002,Cameline - Récolte plante entière,01.11.99.1,Cameline,1
