code_production,libelle_cpf,lbl_production,précisions,indicateur,mesure,nomenclature,actif,lien_code,lien_direct,type,activites,sous_groupe,groupe
01.25.32,Châtaignes et marrons,Châtaigne et marron,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.25.33,Noisettes,Noisette,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.25.34,Pistaches,Pistache,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.25.35,Noix,Noix,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.25.39,"Autres fruits à coque (à l'exclusion des noix sauvages, arachides et noix de coco)",Autre fruit à coque,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.26.1,Olives,Olive,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.26.11,Olives de table,Olive de table,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.26.12,Olives à huile,Olive à huile,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.26.2,Noix de coco,Noix de coco,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.26.9,Autres fruits oléagineux,Autre fruit oléagineux,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Fruits oléagineux,Fruits
01.27.10.1,Honeybush,Honeybush,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Plantes à boissons,"Plantes à parfums, aromatiques et médicinales et plantes à boissons"
